Incident Number,Area,Completed Incident Date,Land Type,Waste Type,Incident Size,Overall Environmental Impact
21149861511,Thames,1/31/2017,Watercourse / Bank,"chemical drums, oil or fuel",other single item,3
21149129611,Thames,2/2/2017,Watercourse / Bank,"chemical drums, oil or fuel",small van load,4
13147686903,East Anglia,2/2/2017,Private - Residential,asbestos,car boot load or less,3
13149907003,East Anglia,2/2/2017,Council Land,"chemical drums, oil or fuel",small van load,4
16148571506,Hertfordshire and North London,2/3/2017,Agricultural,construction/demolition/excavation,significant/multiple loads,3
17149879107,Kent South London and East Sussex,2/3/2017,Commercial / Industrial,construction/demolition/excavation,significant/multiple loads,3
22149867312,Wessex,2/3/2017,Other (Unidentified),asbestos,small van load,3
14149305804,East Midlands,2/6/2017,Commercial / Industrial,other commercial waste,tipper lorry load,4
16149984506,Hertfordshire and North London,2/6/2017,Other (Unidentified),construction/demolition/excavation,tipper lorry load,3
17149422907,Kent South London and East Sussex,2/6/2017,Highway,construction/demolition/excavation,small van load,4
15149749505,Greater Manchester Merseyside and Cheshire,2/7/2017,Commercial / Industrial,other house hold waste,tipper lorry load,3
19150059309,North East,2/8/2017,Watercourse / Bank,construction/demolition/excavation,transit van load,3
11146234201,Cumbria and Lancashire,2/8/2017,Commercial / Industrial,other house hold waste,significant/multiple loads,3
24149471614,Yorkshire,2/8/2017,Other (Unidentified),other house hold waste,transit van load,3
20150093110,Solent and South Downs,2/9/2017,Watercourse / Bank,vehicle parts,other single item,3
11149920701,Cumbria and Lancashire,2/13/2017,Footpath / Bridleway,black bags - house hold,small van load,4
14148836404,East Midlands,2/13/2017,Agricultural,black bags - house hold,significant/multiple loads,3
19149854609,North East,2/13/2017,Private - Residential,"chemical drums, oil or fuel",other single item,3
20149691910,Solent and South Downs,2/13/2017,Watercourse / Bank,"chemical drums, oil or fuel",transit van load,3
19150127809,North East,2/14/2017,Council Land,"chemical drums, oil or fuel",small van load,4
23150170413,West Midlands,2/14/2017,Highway,black bags - commercial,tipper lorry load,3
14150115704,East Midlands,2/15/2017,Council Land,"chemical drums, oil or fuel",small van load,4
16150045906,Hertfordshire and North London,2/15/2017,Commercial / Industrial,black bags - commercial,significant/multiple loads,3
22149146312,Wessex,2/15/2017,Council Land,vehicle parts,other single item,3
16150015506,Hertfordshire and North London,2/16/2017,Back Alleyway,other electrical,small van load,4
17149461807,Kent South London and East Sussex,2/16/2017,Highway,tyres,tipper lorry load,3
12148977702,"Devon, Cornwall and the Isles of Scilly",2/20/2017,Council Land,construction/demolition/excavation,significant/multiple loads,3
17150288707,Kent South London and East Sussex,2/21/2017,Watercourse / Bank,"chemical drums, oil or fuel",other single item,4
15150012605,Greater Manchester Merseyside and Cheshire,2/22/2017,Watercourse / Bank,black bags - house hold,small van load,3
17150057707,Kent South London and East Sussex,2/22/2017,Private - Residential,"chemical drums, oil or fuel",transit van load,3
14149881504,East Midlands,2/23/2017,Private - Residential,"chemical drums, oil or fuel",small van load,4
13149918503,East Anglia,2/24/2017,Private - Residential,other (unidentified),transit van load,3
16149614806,Hertfordshire and North London,2/28/2017,Private - Residential,construction/demolition/excavation,tipper lorry load,3
19149609709,North East,3/1/2017,Other (Unidentified),"chemical drums, oil or fuel",small van load,4
20149340810,Solent and South Downs,3/2/2017,Other (Unidentified),black bags - house hold,car boot load or less,3
20150552210,Solent and South Downs,3/7/2017,Private - Residential,green,small van load,3
22149452612,Wessex,3/7/2017,Private - Residential,green,significant/multiple loads,3
20150587010,Solent and South Downs,3/8/2017,Watercourse / Bank,construction/demolition/excavation,significant/multiple loads,3
16150648606,Hertfordshire and North London,3/8/2017,Watercourse / Bank,black bags - commercial,car boot load or less,3
23149552913,West Midlands,3/9/2017,Footpath / Bridleway,other house hold waste,tipper lorry load,4
23150001113,West Midlands,3/9/2017,Footpath / Bridleway,other house hold waste,significant/multiple loads,3
16149878106,Hertfordshire and North London,3/9/2017,Council Land,other (unidentified),tipper lorry load,3
13150675803,East Anglia,3/9/2017,Agricultural,white goods,transit van load,4
21144969111,Thames,3/13/2017,Highway,other house hold waste,small van load,3
17150661607,Kent South London and East Sussex,3/14/2017,Highway,construction/demolition/excavation,significant/multiple loads,3
18150682808,Lincolnshire and Northamptonshire,3/14/2017,Private - Residential,construction/demolition/excavation,transit van load,3
22150221312,Wessex,3/14/2017,Highway,black bags - house hold,small van load,3
23150745713,West Midlands,3/14/2017,Watercourse / Bank,"chemical drums, oil or fuel",other single item,4
17150625507,Kent South London and East Sussex,3/15/2017,Watercourse / Bank,other commercial waste,small van load,3
16150742506,Hertfordshire and North London,3/17/2017,Agricultural,construction/demolition/excavation,transit van load,4
17150336107,Kent South London and East Sussex,3/20/2017,Commercial / Industrial,construction/demolition/excavation,significant/multiple loads,3
16149464406,Hertfordshire and North London,3/21/2017,Highway,construction/demolition/excavation,significant/multiple loads,3
16149798306,Hertfordshire and North London,3/21/2017,Highway,construction/demolition/excavation,tipper lorry load,3
16150059106,Hertfordshire and North London,3/21/2017,Highway,other commercial waste,significant/multiple loads,2
16149915006,Hertfordshire and North London,3/21/2017,Highway,other house hold waste,significant/multiple loads,2
16150233606,Hertfordshire and North London,3/21/2017,Council Land,other house hold waste,tipper lorry load,3
16150140106,Hertfordshire and North London,3/21/2017,Highway,construction/demolition/excavation,tipper lorry load,3
16150013806,Hertfordshire and North London,3/21/2017,Private - Residential,construction/demolition/excavation,tipper lorry load,3
13147845903,East Anglia,3/22/2017,Council Land,construction/demolition/excavation,significant/multiple loads,3
13148057503,East Anglia,3/22/2017,Agricultural,construction/demolition/excavation,significant/multiple loads,3
13148184703,East Anglia,3/22/2017,Agricultural,construction/demolition/excavation,tipper lorry load,3
13148419203,East Anglia,3/22/2017,Highway,construction/demolition/excavation,significant/multiple loads,3
13148471603,East Anglia,3/22/2017,Council Land,construction/demolition/excavation,tipper lorry load,3
16148382206,Hertfordshire and North London,3/22/2017,Council Land,construction/demolition/excavation,tipper lorry load,3
22150198212,Wessex,3/23/2017,Council Land,other (unidentified),other single item,3
35141254597,East Anglia,3/23/2017,Agricultural,construction/demolition/excavation,tipper lorry load,3
535141254191,East Anglia,3/23/2017,Highway,other commercial waste,significant/multiple loads,3
35141255488,East Anglia,3/23/2017,Agricultural,construction/demolition/excavation,significant/multiple loads,3
135211255792,East Anglia,3/23/2017,Commercial / Industrial,construction/demolition/excavation,significant/multiple loads,3
235141254983,East Anglia,3/23/2017,Other (Unidentified),construction/demolition/excavation,significant/multiple loads,3
135181256482,East Anglia,3/23/2017,Agricultural,construction/demolition/excavation,tipper lorry load,3
135221256585,East Anglia,3/23/2017,Agricultural,construction/demolition/excavation,significant/multiple loads,3
235181256779,East Anglia,3/23/2017,Agricultural,construction/demolition/excavation,significant/multiple loads,3
335141255973,East Anglia,3/23/2017,Agricultural,construction/demolition/excavation,significant/multiple loads,3
335181256076,East Anglia,3/23/2017,Agricultural,construction/demolition/excavation,significant/multiple loads,3
23150649213,West Midlands,3/23/2017,Agricultural,other commercial waste,tipper lorry load,2
16150546206,Hertfordshire and North London,3/23/2017,Highway,construction/demolition/excavation,transit van load,3
16150550906,Hertfordshire and North London,3/23/2017,Highway,other (unidentified),transit van load,3
16150549006,Hertfordshire and North London,3/23/2017,Highway,other (unidentified),transit van load,3
24150315614,Yorkshire,3/24/2017,Commercial / Industrial,tyres,significant/multiple loads,3
16150551906,Hertfordshire and North London,3/24/2017,Highway,other (unidentified),small van load,3
23150595713,West Midlands,3/24/2017,Footpath / Bridleway,"chemical drums, oil or fuel",small van load,3
235131555734,East Anglia,3/24/2017,Council Land,construction/demolition/excavation,significant/multiple loads,3
335131554932,East Anglia,3/24/2017,Commercial / Industrial,construction/demolition/excavation,significant/multiple loads,3
24151041114,Yorkshire,3/27/2017,Highway,tyres,tipper lorry load,4
35211254494,East Anglia,3/27/2017,Highway,construction/demolition/excavation,significant/multiple loads,3
235151254587,East Anglia,3/27/2017,Council Land,construction/demolition/excavation,tipper lorry load,3
235181254689,East Anglia,3/27/2017,Commercial / Industrial,construction/demolition/excavation,tipper lorry load,3
13150220303,East Anglia,3/27/2017,Commercial / Industrial,black bags - house hold,car boot load or less,3
135151256864,East Anglia,3/27/2017,Highway,construction/demolition/excavation,tipper lorry load,3
235151257161,East Anglia,3/27/2017,Agricultural,construction/demolition/excavation,significant/multiple loads,3
13149219603,East Anglia,3/28/2017,Highway,construction/demolition/excavation,tipper lorry load,3
436161245385,East Anglia,3/28/2017,Agricultural,construction/demolition/excavation,tipper lorry load,3
13148265303,East Anglia,3/28/2017,Commercial / Industrial,construction/demolition/excavation,significant/multiple loads,3
13148199703,East Anglia,3/28/2017,Highway,construction/demolition/excavation,tipper lorry load,3
13148571603,East Anglia,3/28/2017,Other (Unidentified),construction/demolition/excavation,tipper lorry load,3
13148391703,East Anglia,3/28/2017,Commercial / Industrial,other commercial waste,tipper lorry load,3
13149035503,East Anglia,3/28/2017,Commercial / Industrial,other house hold waste,tipper lorry load,3
13148510303,East Anglia,3/28/2017,Highway,construction/demolition/excavation,significant/multiple loads,3
13148970903,East Anglia,3/28/2017,Commercial / Industrial,construction/demolition/excavation,significant/multiple loads,3
235181552738,East Anglia,3/28/2017,Commercial / Industrial,other commercial waste,significant/multiple loads,3
335141552833,East Anglia,3/28/2017,Agricultural,construction/demolition/excavation,significant/multiple loads,3
13148928403,East Anglia,3/28/2017,Commercial / Industrial,other commercial waste,significant/multiple loads,3
13148888403,East Anglia,3/28/2017,Commercial / Industrial,other commercial waste,significant/multiple loads,3
13149175003,East Anglia,3/28/2017,Commercial / Industrial,construction/demolition/excavation,significant/multiple loads,3
13147970203,East Anglia,3/28/2017,Commercial / Industrial,construction/demolition/excavation,significant/multiple loads,3
13148113703,East Anglia,3/28/2017,Agricultural,construction/demolition/excavation,significant/multiple loads,3
13148253003,East Anglia,3/28/2017,Agricultural,other commercial waste,tipper lorry load,3
13148460703,East Anglia,3/28/2017,Agricultural,construction/demolition/excavation,tipper lorry load,3
23150154413,West Midlands,3/28/2017,Private - Residential,construction/demolition/excavation,transit van load,3
13149366703,East Anglia,3/29/2017,Commercial / Industrial,other house hold waste,tipper lorry load,3
24150451214,Yorkshire,3/30/2017,Watercourse / Bank,"chemical drums, oil or fuel",other single item,4
22150226312,Wessex,3/30/2017,Watercourse / Bank,asbestos,car boot load or less,3
22150638612,Wessex,3/30/2017,Watercourse / Bank,"chemical drums, oil or fuel",transit van load,3
13150974703,East Anglia,4/3/2017,Agricultural,Other house hold waste,Significant/multiple loads,3
23153594013,West Midlands,4/4/2017,Commercial / Industrial,Other (unidentified),Significant/multiple loads,3
3614853416,Kent South London and East Sussex,4/4/2017,Commercial / Industrial,Black bags - commercial,Transit van load,3
15155789105,Greater Manchester Merseyside and Cheshire,4/4/2017,Watercourse / Bank,Other commercial waste,Transit van load,4
13155843203,East Anglia,4/6/2017,Commercial / Industrial,Other commercial waste,Significant/multiple loads,3
23155922013,West Midlands,4/7/2017,Highway,"Chemical drums, oil or fuel",Small van load,3
17157827307,Kent South London and East Sussex,4/7/2017,Private - Residential,Other house hold waste,Significant/multiple loads,3
22153613112,Wessex,4/7/2017,Watercourse / Bank,Black bags - house hold,Car boot load or less,3
16155904406,Hertfordshire and North London,4/10/2017,Highway,Construction/demolition/excavation,Tipper lorry load,3
23155510213,West Midlands,4/10/2017,Watercourse / Bank,Construction/demolition/excavation,Car boot load or less,3
23154215213,West Midlands,4/12/2017,Agricultural,Other commercial waste,Tipper lorry load,3
23150809913,West Midlands,4/13/2017,Watercourse / Bank,"Chemical drums, oil or fuel",Other single item,3
16151716406,Hertfordshire and North London,4/18/2017,Highway,Construction/demolition/excavation,Tipper lorry load,3
11151849801,Cumbria and Lancashire,4/18/2017,Council Land,Construction/demolition/excavation,Small van load,3
235141257830,West Midlands,4/19/2017,Watercourse / Bank,Vehicle parts,Car boot load or less,4
16151526006,Hertfordshire and North London,4/20/2017,Highway,Construction/demolition/excavation,Tipper lorry load,3
16152073506,Hertfordshire and North London,4/20/2017,Highway,Other commercial waste,Tipper lorry load,3
16150618506,Hertfordshire and North London,4/20/2017,Highway,Construction/demolition/excavation,Tipper lorry load,3
13152544303,East Anglia,4/21/2017,Watercourse / Bank,Black bags - house hold,Small van load,3
17151653507,Kent South London and East Sussex,4/21/2017,Watercourse / Bank,Other commercial waste,Other single item,3
23150637213,West Midlands,4/24/2017,Council Land,Other house hold waste,Other single item,3
21153041311,Thames,4/25/2017,Watercourse / Bank,Other commercial waste,Significant/multiple loads,3
16151158606,Hertfordshire and North London,4/26/2017,Agricultural,Other commercial waste,Tipper lorry load,3
21153833811,Thames,4/27/2017,Watercourse / Bank,Construction/demolition/excavation,Small van load,3
23153818213,West Midlands,4/28/2017,Commercial / Industrial,"Chemical drums, oil or fuel",Transit van load,3
13153678603,East Anglia,4/28/2017,Watercourse / Bank,Other commercial waste,Other single item,3
236141142994,Hertfordshire and North London,4/28/2017,Highway,Construction/demolition/excavation,Tipper lorry load,3
16153958506,Hertfordshire and North London,4/28/2017,Highway,Construction/demolition/excavation,Tipper lorry load,3
16155317306,Hertfordshire and North London,4/28/2017,Highway,Construction/demolition/excavation,Tipper lorry load,3
16155764206,Hertfordshire and North London,4/28/2017,Highway,Construction/demolition/excavation,Tipper lorry load,3
16153827806,Hertfordshire and North London,4/28/2017,Highway,Construction/demolition/excavation,Tipper lorry load,3
16149587506,Hertfordshire and North London,4/28/2017,Highway,Construction/demolition/excavation,Tipper lorry load,3
18153681108,Lincolnshire and Northamptonshire,5/3/2017,Agricultural,Other (unidentified),Significant/multiple loads,3
136141048717,Hertfordshire and North London,5/3/2017,Highway,Construction/demolition/excavation,Tipper lorry load,3
16156003306,Hertfordshire and North London,5/3/2017,Council Land,Construction/demolition/excavation,Significant/multiple loads,3
16153085106,Hertfordshire and North London,5/4/2017,Highway,Construction/demolition/excavation,Tipper lorry load,3
16156020906,Hertfordshire and North London,5/5/2017,Highway,Construction/demolition/excavation,Tipper lorry load,3
22155694612,Wessex,5/9/2017,Watercourse / Bank,Vehicle parts,Other single item,3
23155605313,West Midlands,5/15/2017,Watercourse / Bank,"Chemical drums, oil or fuel",Car boot load or less,3
16159806606,Hertfordshire and North London,5/16/2017,Council Land,Construction/demolition/excavation,Significant/multiple loads,3
436151548054,Lincolnshire and Northamptonshire,5/17/2017,Other (Unidentified),Other (unidentified),Car boot load or less,4
18149768208,Lincolnshire and Northamptonshire,5/17/2017,Footpath / Bridleway,Other (unidentified),Tipper lorry load,4
24150110914,Yorkshire,5/17/2017,Other (Unidentified),Green,Significant/multiple loads,3
13150111303,East Anglia,5/17/2017,Commercial / Industrial,Construction/demolition/excavation,Tipper lorry load,3
13150118903,East Anglia,5/18/2017,Other (Unidentified),Other (unidentified),Significant/multiple loads,3
24150119014,Yorkshire,5/22/2017,Watercourse / Bank,"Chemical drums, oil or fuel",Car boot load or less,3
20150167710,Solent and South Downs,5/22/2017,Watercourse / Bank,Other house hold waste,Other single item,4
16150463906,Hertfordshire and North London,5/25/2017,Highway,Construction/demolition/excavation,Tipper lorry load,3
16151226806,Hertfordshire and North London,5/25/2017,Highway,Construction/demolition/excavation,Tipper lorry load,3
22156338512,Wessex,5/26/2017,Watercourse / Bank,Other house hold waste,Car boot load or less,3
13156928903,East Anglia,5/31/2017,Council Land,Construction/demolition/excavation,Significant/multiple loads,3
24157065414,Yorkshire,6/1/2017,Watercourse / Bank,"Chemical drums, oil or fuel",Other single item,3
16157246406,Hertfordshire and North London,6/1/2017,Highway,Construction/demolition/excavation,Tipper lorry load,3
536151153172,West Midlands,6/2/2017,Watercourse / Bank,"Chemical drums, oil or fuel",Single black bag,3
23152133613,West Midlands,6/2/2017,Agricultural,Other commercial waste,Tipper lorry load,3
13152321603,East Anglia,6/2/2017,Highway,Construction/demolition/excavation,Tipper lorry load,3
16154267806,Hertfordshire and North London,6/5/2017,Highway,Construction/demolition/excavation,Tipper lorry load,3
16154392206,Hertfordshire and North London,6/5/2017,Highway,Construction/demolition/excavation,Tipper lorry load,3
17154545407,Kent South London and East Sussex,6/6/2017,Footpath / Bridleway,"Chemical drums, oil or fuel",Other single item,4
23154358113,West Midlands,6/6/2017,Watercourse / Bank,Other house hold waste,Car boot load or less,3
16154880306,Hertfordshire and North London,6/6/2017,Agricultural,Construction/demolition/excavation,Significant/multiple loads,3
13154900803,East Anglia,6/9/2017,Highway,Construction/demolition/excavation,Tipper lorry load,3
20157447210,Solent and South Downs,6/11/2017,Council Land,"Chemical drums, oil or fuel",Other single item,3
136151143280,Hertfordshire and North London,6/12/2017,Highway,Construction/demolition/excavation,Tipper lorry load,3
18152073208,Lincolnshire and Northamptonshire,6/13/2017,Agricultural,Other house hold waste,Significant/multiple loads,3
14152113604,East Midlands,6/13/2017,Agricultural,Other (unidentified),Significant/multiple loads,3
13155374203,East Anglia,6/14/2017,Other (Unidentified),Asbestos,Small van load,4
23150910113,West Midlands,6/15/2017,Commercial / Industrial,Other house hold waste,Significant/multiple loads,3
14156054604,East Midlands,6/16/2017,Agricultural,Other house hold waste,Transit van load,3
13156107803,East Anglia,6/20/2017,Watercourse / Bank,Other house hold waste,Car boot load or less,3
23156329913,West Midlands,6/21/2017,Commercial / Industrial,Other commercial waste,Significant/multiple loads,3
14153708204,East Midlands,6/23/2017,Commercial / Industrial,"Chemical drums, oil or fuel",Transit van load,3
13151079803,East Anglia,6/28/2017,Highway,Tyres,Significant/multiple loads,3
24152082214,Yorkshire,7/4/2017,Highway,Tyres,Significant/multiple loads,3
436151148704,Lincolnshire and Northamptonshire,7/6/2017,Highway,"Chemical drums, oil or fuel",Tipper lorry load,3
16151008706,Hertfordshire and North London,7/6/2017,Highway,Other commercial waste,Tipper lorry load,3
22153907712,Wessex,7/11/2017,Footpath / Bridleway,Other (unidentified),Single black bag,3
13153711603,East Anglia,7/11/2017,Commercial / Industrial,Other house hold waste,Significant/multiple loads,2
23154511913,West Midlands,7/12/2017,Highway,Other commercial waste,Tipper lorry load,3
13153127103,East Anglia,7/13/2017,Highway,Other (unidentified),Other single item,3
13150591303,East Anglia,7/13/2017,Footpath / Bridleway,Black bags - house hold,Transit van load,3
22155145512,Wessex,7/13/2017,Watercourse / Bank,White goods,Other single item,4
23155496313,West Midlands,7/14/2017,Other (Unidentified),Other commercial waste,Significant/multiple loads,3
16153804306,Hertfordshire and North London,7/14/2017,Watercourse / Bank,Green,Tipper lorry load,3
13156058303,East Anglia,7/16/2017,Commercial / Industrial,Construction/demolition/excavation,Significant/multiple loads,3
20155961310,Solent and South Downs,7/18/2017,Watercourse / Bank,Other (unidentified),Other single item,3
17156025607,Kent South London and East Sussex,7/18/2017,Private - Residential,Other house hold waste,Significant/multiple loads,3
17150176607,Kent South London and East Sussex,7/19/2017,Council Land,Construction/demolition/excavation,Significant/multiple loads,3
16156123306,Hertfordshire and North London,7/20/2017,Council Land,Other (unidentified),Small van load,3
24155681614,Yorkshire,7/21/2017,Agricultural,Construction/demolition/excavation,Tipper lorry load,4
19155882809,North East,7/24/2017,Commercial / Industrial,Other commercial waste,Tipper lorry load,3
16156075906,Hertfordshire and North London,7/24/2017,Other (Unidentified),Other commercial waste,Significant/multiple loads,3
16156076806,Hertfordshire and North London,7/24/2017,Highway,Black bags - commercial,Significant/multiple loads,2
12156065902,"Devon, Cornwall and the Isles of Scilly",7/25/2017,Watercourse / Bank,Vehicle parts,Other single item,3
16155972906,Hertfordshire and North London,7/25/2017,Highway,Construction/demolition/excavation,Transit van load,3
22156623412,Wessex,7/27/2017,Highway,Other commercial waste,Transit van load,3
24156287414,Yorkshire,7/27/2017,Footpath / Bridleway,Other house hold waste,Car boot load or less,3
14156132004,East Midlands,7/28/2017,Highway,"Chemical drums, oil or fuel",Transit van load,4
14155771004,East Midlands,7/28/2017,Highway,"Chemical drums, oil or fuel",Transit van load,4
11156606401,Cumbria and Lancashire,8/1/2017,Council Land,Construction/demolition/excavation,Small van load,3
13155351503,East Anglia,8/1/2017,Private - Residential,Construction/demolition/excavation,Tipper lorry load,3
23156064513,West Midlands,8/2/2017,Agricultural,Other house hold waste,Tipper lorry load,3
23156723613,West Midlands,8/2/2017,Commercial / Industrial,"Chemical drums, oil or fuel",Tipper lorry load,4
16156762406,Hertfordshire and North London,8/7/2017,Watercourse / Bank,Other house hold waste,Car boot load or less,3
18155746608,Lincolnshire and Northamptonshire,8/9/2017,Watercourse / Bank,Other (unidentified),Other single item,3
24156727214,Yorkshire,8/10/2017,Other (Unidentified),"Chemical drums, oil or fuel",Other single item,4
436161142358,East Anglia,8/10/2017,Agricultural,Construction/demolition/excavation,Tipper lorry load,3
14155789904,East Midlands,8/11/2017,Watercourse / Bank,Other commercial waste,Tipper lorry load,3
13156707803,East Anglia,8/14/2017,Commercial / Industrial,"Chemical drums, oil or fuel",Other single item,3
19156859209,North East,8/14/2017,Commercial / Industrial,Construction/demolition/excavation,Tipper lorry load,4
14156879804,East Midlands,8/15/2017,Highway,"Chemical drums, oil or fuel",Small van load,3
19156235409,North East,8/18/2017,Footpath / Bridleway,Black bags - house hold,Car boot load or less,4
18156924408,Lincolnshire and Northamptonshire,8/21/2017,Watercourse / Bank,"Chemical drums, oil or fuel",Significant/multiple loads,3
16156879406,Hertfordshire and North London,8/21/2017,Other (Unidentified),Construction/demolition/excavation,Small van load,3
536151243809,Wessex,8/22/2017,Highway,Asbestos,Significant/multiple loads,3
17150186507,Kent South London and East Sussex,8/24/2017,Watercourse / Bank,Other commercial waste,Car boot load or less,3
22157011512,Wessex,8/25/2017,Council Land,"Chemical drums, oil or fuel",Transit van load,3
14150331704,East Midlands,8/29/2017,Watercourse / Bank,"Chemical drums, oil or fuel",Single black bag,3
16156896806,Hertfordshire and North London,8/29/2017,Commercial / Industrial,Other (unidentified),Tipper lorry load,3
11156978901,Cumbria and Lancashire,8/29/2017,Commercial / Industrial,Other commercial waste,Tipper lorry load,3
23155583713,West Midlands,8/30/2017,Commercial / Industrial,Other commercial waste,Tipper lorry load,4
17151389407,Kent South London and East Sussex,8/30/2017,Other (Unidentified),Construction/demolition/excavation,Significant/multiple loads,3
17151575707,Kent South London and East Sussex,8/30/2017,Watercourse / Bank,Other house hold waste,Car boot load or less,4
23151498813,West Midlands,8/30/2017,Private - Residential,Other commercial waste,Significant/multiple loads,3
23151205713,West Midlands,8/30/2017,Agricultural,Other commercial waste,Tipper lorry load,4
22151401012,Wessex,9/4/2017,Council Land,"Chemical drums, oil or fuel",Small van load,3
13151142903,East Anglia,9/5/2017,Agricultural,Construction/demolition/excavation,Significant/multiple loads,3
18151876008,Lincolnshire and Northamptonshire,9/7/2017,Watercourse / Bank,Vehicle parts,Small van load,4
22151729312,Wessex,9/11/2017,Agricultural,Construction/demolition/excavation,Small van load,3
24151900814,Yorkshire,9/13/2017,Agricultural,Green,Transit van load,3
16151803406,Hertfordshire and North London,9/13/2017,Watercourse / Bank,Black bags - commercial,Single black bag,4
16151817306,Hertfordshire and North London,9/13/2017,Highway,Black bags - house hold,Tipper lorry load,3
24151847014,Yorkshire,9/14/2017,Footpath / Bridleway,Other house hold waste,Transit van load,3
536151157479,Hertfordshire and North London,9/14/2017,Council Land,Other house hold waste,Significant/multiple loads,3
16151976306,Hertfordshire and North London,9/15/2017,Council Land,Construction/demolition/excavation,Transit van load,4
136161148975,Kent South London and East Sussex,9/18/2017,Watercourse / Bank,"Chemical drums, oil or fuel",Car boot load or less,4
17151729507,Kent South London and East Sussex,9/25/2017,Highway,Construction/demolition/excavation,Significant/multiple loads,4
18150781308,Lincolnshire and Northamptonshire,9/28/2017,Commercial / Industrial,Construction/demolition/excavation,Significant/multiple loads,3
24152378314,Yorkshire,9/29/2017,Watercourse / Bank,Other (unidentified),Other single item,3
16152336206,Hertfordshire and North London,10/2/2017,Watercourse / Bank,Tyres,Other single item,3
17152764207,Kent South London and East Sussex,10/2/2017,Highway,Tyres,Tipper lorry load,3
16152867306,Hertfordshire and North London,10/4/2017,Watercourse / Bank,Other (unidentified),Other single item,3
23152867413,West Midlands,10/4/2017,Commercial / Industrial,"Chemical drums, oil or fuel",Transit van load,3
16152748806,Hertfordshire and North London,10/6/2017,Highway,Other house hold waste,Tipper lorry load,3
17152958907,Kent South London and East Sussex,10/6/2017,Commercial / Industrial,Other commercial waste,Significant/multiple loads,3
17156330207,Kent South London and East Sussex,10/9/2017,Watercourse / Bank,Construction/demolition/excavation,Car boot load or less,3
24156357414,Yorkshire,10/9/2017,Watercourse / Bank,Vehicle parts,Other single item,3
11156423001,Cumbria and Lancashire,10/10/2017,Watercourse / Bank,Other commercial waste,Car boot load or less,3
21156785911,Thames,10/11/2017,Watercourse / Bank,"Chemical drums, oil or fuel",Car boot load or less,4
236161143479,Wessex,10/11/2017,Agricultural,Construction/demolition/excavation,Transit van load,3
17157105007,Kent South London and East Sussex,10/11/2017,Watercourse / Bank,Construction/demolition/excavation,Car boot load or less,3
24159247114,Yorkshire,10/12/2017,Council Land,Black bags - commercial,Tipper lorry load,4
18159596808,Lincolnshire and Northamptonshire,10/13/2017,Footpath / Bridleway,"Chemical drums, oil or fuel",Small van load,4
436161245385,Kent South London and East Sussex,10/13/2017,Council Land,"Chemical drums, oil or fuel",Car boot load or less,3
536131145633,Hertfordshire and North London,10/16/2017,Council Land,Other commercial waste,Significant/multiple loads,3
16157644606,Hertfordshire and North London,10/16/2017,Commercial / Industrial,Other commercial waste,Tipper lorry load,3
16157644706,Hertfordshire and North London,10/16/2017,Commercial / Industrial,Other commercial waste,Tipper lorry load,3
20157802610,Solent and South Downs,10/18/2017,Watercourse / Bank,White goods,Small van load,3
13158677603,East Anglia,10/18/2017,Agricultural,Construction/demolition/excavation,Significant/multiple loads,3
13153002203,East Anglia,10/18/2017,Commercial / Industrial,Other commercial waste,Tipper lorry load,3
18153412308,Lincolnshire and Northamptonshire,10/19/2017,Other (Unidentified),Asbestos,Tipper lorry load,3
16155046306,Hertfordshire and North London,10/27/2017,Highway,Construction/demolition/excavation,Tipper lorry load,3
16154012206,Hertfordshire and North London,10/27/2017,Agricultural,Other commercial waste,Tipper lorry load,3
11155108101,Cumbria and Lancashire,11/1/2017,Watercourse / Bank,Other house hold waste,Small van load,4
16154766106,Hertfordshire and North London,11/1/2017,Council Land,Green,Tipper lorry load,3
12154804702,"Devon, Cornwall and the Isles of Scilly",11/6/2017,Agricultural,Tyres,Transit van load,2
15157170605,Greater Manchester Merseyside and Cheshire,11/6/2017,Private - Residential,Asbestos,Car boot load or less,3
19156509909,North East,11/7/2017,Commercial / Industrial,Construction/demolition/excavation,Significant/multiple loads,3
16156769906,Hertfordshire and North London,11/7/2017,Highway,Construction/demolition/excavation,Tipper lorry load,3
16157115006,Hertfordshire and North London,11/8/2017,Highway,Other commercial waste,Significant/multiple loads,3
16157210706,Hertfordshire and North London,11/13/2017,Highway,Other commercial waste,Tipper lorry load,3
17156754707,Kent South London and East Sussex,11/13/2017,Footpath / Bridleway,"Chemical drums, oil or fuel",Car boot load or less,4
16157243506,Hertfordshire and North London,11/14/2017,Highway,Other commercial waste,Significant/multiple loads,3
16157230006,Hertfordshire and North London,11/14/2017,Highway,Other commercial waste,Significant/multiple loads,3
36161150331,Hertfordshire and North London,11/14/2017,Commercial / Industrial,Other commercial waste,Significant/multiple loads,3
16156727006,Hertfordshire and North London,11/15/2017,Commercial / Industrial,Other (unidentified),Other single item,3
20151021510,Solent and South Downs,11/16/2017,Agricultural,Black bags - house hold,Tipper lorry load,3
235150952712,Hertfordshire and North London,11/16/2017,Other (Unidentified),Other commercial waste,Significant/multiple loads,3
14150984404,East Midlands,11/17/2017,Footpath / Bridleway,Other commercial waste,Car boot load or less,3
22152836112,Wessex,11/18/2017,Highway,Other commercial waste,Single black bag,3
